Dispensary,Address,Phone,Platform,Platform Store ID,Website,Menu URL,Specials URL
Canterra,"451 Elmwood Ave #105, Buffalo, NY 14222",(716) 544-5751,Dutchie,64d2683c75332e0009f274f1,https://canterra.co/,https://dutchie.com/embedded-menu/64d2683c75332e0009f274f1,https://dutchie.com/embedded-menu/64d2683c75332e0009f274f1/specials
"Peace, Love, & Bud","320 S Transit St, Lockport, NY 14094",(716) 346-6589,Dutchie,66229844b170928ed0901c3c,https://www.plbud.com/,https://dutchie.com/embedded-menu/66229844b170928ed0901c3c,https://dutchie.com/embedded-menu/66229844b170928ed0901c3c/specials
Upstate Exotics,"9200 Niagara Falls Blvd, Niagara Falls, NY 14304",(716) 205-8506,Dutchie,65e79227ac022d00098e5c8b,https://upstateexotics716.com/,https://dutchie.com/embedded-menu/65e79227ac022d00098e5c8b,https://dutchie.com/embedded-menu/65e79227ac022d00098e5c8b/specials
Treehead Culture,"665 N French Rd, Buffalo, NY 14228",,Dutchie,64e5132f421f8100098aed54,https://treeheadculture.com/,https://dutchie.com/embedded-menu/64e5132f421f8100098aed54,https://dutchie.com/embedded-menu/64e5132f421f8100098aed54/specials
The Smoking Buffalo,"2540 George Urban Blvd, Depew, NY 14043",(716) 288-7845,Dutchie,66fd45a7c7c2b14ad57c564f,https://www.thesmokingbuffalodispensary.com/,https://dutchie.com/embedded-menu/66fd45a7c7c2b14ad57c564f,https://dutchie.com/embedded-menu/66fd45a7c7c2b14ad57c564f/specials
The Phinest Buds,"576 Dick Rd suite 10a, Depew, NY 14043",(716) 329-4326,Dutchie,66b68302e896e8056b1bced2,https://thephinestbuds.com/,https://dutchie.com/embedded-menu/66b68302e896e8056b1bced2,https://dutchie.com/embedded-menu/66b68302e896e8056b1bced2/specials
The Kokoro Way,"2454 Elmwood Ave, Kenmore, NY 14217",(716) 322-0327,Dutchie,6835cc2b6ef4f620b1ab5e7d,https://thekokoroway.com/,https://dutchie.com/embedded-menu/6835cc2b6ef4f620b1ab5e7d,https://dutchie.com/embedded-menu/6835cc2b6ef4f620b1ab5e7d/specials
Star Buds,"396 Kenmore Ave, Buffalo, NY 14223",(716) 829-7235,Dutchie,6595855102771e0009439283,https://shop.starbuds.us/stores/buffalo-dispensary/,https://dutchie.com/embedded-menu/6595855102771e0009439283,https://dutchie.com/embedded-menu/6595855102771e0009439283/specials
Secret Garden 716,"1363 Delaware Ave, Buffalo, NY 14209",(716) 235-8693,Dutchie,660b3567aa62f1639856faa6,https://www.secretgarden716.com/,https://dutchie.com/embedded-menu/660b3567aa62f1639856faa6,https://dutchie.com/embedded-menu/660b3567aa62f1639856faa6/specials
Public Flower,"232 Allen St, Buffalo, NY 14201",(716) 201-0711,Dutchie,6569f41c44db8e0009709faf,https://publicflower.co/,https://dutchie.com/embedded-menu/6569f41c44db8e0009709faf,https://dutchie.com/embedded-menu/6569f41c44db8e0009709faf/specials
Nativa Cannabis,"765 Niagara St, Niagara Falls, NY 14303",(716) 340-2199,Dutchie,63b8482c60e0950086ff19ea,https://www.nativacannabis.com/,https://dutchie.com/embedded-menu/63b8482c60e0950086ff19ea,https://dutchie.com/embedded-menu/63b8482c60e0950086ff19ea/specials
Mary Janes,"2179 Sheridan Drive, Tonawanda, NY 14223",(716) 331-3056,Dutchie,6579bbae6e08400009da73cf,https://maryjaneswny.com/,https://dutchie.com/embedded-menu/6579bbae6e08400009da73cf,https://dutchie.com/embedded-menu/6579bbae6e08400009da73cf/specials
Mammoth Cannabis,"212 Ohio St Suite 2, Buffalo, NY 14204",(716) 339-5647,Dutchie,6674575e7531e65c8d1c3f4a,https://mammothcanna.com/,https://dutchie.com/embedded-menu/6674575e7531e65c8d1c3f4a,https://dutchie.com/embedded-menu/6674575e7531e65c8d1c3f4a/specials
Love Nug,"3176 Niagara Falls Blvd, North Tonawanda, NY", (716) 260-1318,Dutchie,67b4b2987a5d0e272f88f5fa,https://shoplovenug.com/,https://dutchie.com/embedded-menu/67b4b2987a5d0e272f88f5fa,https://dutchie.com/embedded-menu/67b4b2987a5d0e272f88f5fa/specials
Leaf Plug,"3341 Sheridan Dr, Buffalo, NY 14226",(716) 259-9004,Dutchie,662ffb05e1e7c3b5d741e4d0,https://leafplug.com/,https://dutchie.com/embedded-menu/662ffb05e1e7c3b5d741e4d0,https://dutchie.com/embedded-menu/662ffb05e1e7c3b5d741e4d0/specials
King of Budz,"2200 Walden Ave, Buffalo, NY 14225",(716) 377-9914,Dutchie,67a163c36974913902673fdc,https://kingofbudz.com/,https://dutchie.com/embedded-menu/67a163c36974913902673fdc,https://dutchie.com/embedded-menu/67a163c36974913902673fdc/specials
Jupiter Cafe,"172 N Union St, Olean, NY 14760",(716) 790-8019,Dutchie,6595a53e34343d00092a046f,https://jupitercafe.store/,https://dutchie.com/embedded-menu/6595a53e34343d00092a046f,https://dutchie.com/embedded-menu/6595a53e34343d00092a046f/specials
High Tide,"1829 Como Park Blvd, Lancaster, NY 14086",(716) 329-6725,Dutchie,65a6d8a1539ea70009148288,https://www.hightide716.com/,https://dutchie.com/embedded-menu/65a6d8a1539ea70009148288,https://dutchie.com/embedded-menu/65a6d8a1539ea70009148288/specials
High Cloudz,"2675 Main St, Buffalo, NY 14214",(716) 248-2522,Dutchie,680f91f53454d794a2625f8b,https://highcloudzcannabis.com/,https://dutchie.com/embedded-menu/680f91f53454d794a2625f8b,https://dutchie.com/embedded-menu/680f91f53454d794a2625f8b/specials
Herbalwai,"6970 Transit Rd Suite 100, Buffalo, NY 14221", (716) 242-1080,Dutchie,6595a01eb7704a00093afd02,https://herbalwai.com/,https://dutchie.com/embedded-menu/6595a01eb7704a00093afd02,https://dutchie.com/embedded-menu/6595a01eb7704a00093afd02/specials
Herbal IQ,"6300 Transit Rd, Depew, NY 14043",(716) 288-7353,Dutchie,64878016c9f11d0016c78f1a,https://herbaliq.org/,https://dutchie.com/embedded-menu/64878016c9f11d0016c78f1a,https://dutchie.com/embedded-menu/64878016c9f11d0016c78f1a/specials
716 Cannabis,"5161 Camp Rd, Hamburg NY, 14075",(716) 201-1345,Dutchie,64c8f9e37f0cc30009df1a56,https://716cannabisllc.com/,https://dutchie.com/embedded-menu/64c8f9e37f0cc30009df1a56,https://dutchie.com/embedded-menu/64c8f9e37f0cc30009df1a56/specials
Best Budz,"146 Virginia St, Buffalo, NY 14201",(716) 259-8630,Dutchie,67d863484420ce5c8c9897fd,https://bestbudz716.com/,https://dutchie.com/embedded-menu/67d863484420ce5c8c9897fd,https://dutchie.com/embedded-menu/67d863484420ce5c8c9897fd/specials
Buffalo Kind,"640 Main St, East Aurora, NY 14052",(716) 345-2374,Dutchie,6644f7702fde4d76a2319c4e,https://buffalokind.com/,https://dutchie.com/embedded-menu/6644f7702fde4d76a2319c4e,https://dutchie.com/embedded-menu/6644f7702fde4d76a2319c4e/specials
Dream Daze,"5100 Transit Rd, Depew, NY 14043",(716) 288-7138,Dutchie,66c62af455af03daeb800b12,https://thedreamdaze.com/,https://dutchie.com/embedded-menu/66c62af455af03daeb800b12,https://dutchie.com/embedded-menu/66c62af455af03daeb800b12/specials
Enchanted Mtns,"24 Washington St, Ellicottville, NY 14731",(716) 699-1142,Dutchie,664553d9fd37589e81286544,https://enchantedmountainscannaco.com/,https://dutchie.com/embedded-menu/664553d9fd37589e81286544,https://dutchie.com/embedded-menu/664553d9fd37589e81286544/specials
Happy Times Cannabis (Buffalo),"3807 Harlem Rd, Buffalo, NY",(716) 322-0104,Dutchie,67196f2c8c7ea2c66ca086b5,https://happytimescannabis.com/,https://dutchie.com/embedded-menu/67196f2c8c7ea2c66ca086b5,https://dutchie.com/embedded-menu/67196f2c8c7ea2c66ca086b5/specials
Happy Times Cannabis (Cheektowaga),"2760 Union Rd, Cheektowaga, NY 14227",(716) 473-5019,Dutchie,663e8c38b0acd18a8b9baa51,https://happytimescannabis.com/,https://dutchie.com/embedded-menu/663e8c38b0acd18a8b9baa51,https://dutchie.com/embedded-menu/663e8c38b0acd18a8b9baa51/specials
Happy Times Cannabis (Niagara Falls),"7560 Niagara Falls Blvd, Niagara Falls, NY",(716) 299-0004,Dutchie,67e1a51029e4d49c31862c05,https://happytimescannabis.com/,https://dutchie.com/embedded-menu/67e1a51029e4d49c31862c05,https://dutchie.com/embedded-menu/67e1a51029e4d49c31862c05/specials
Cannaspace,"4151 McKinley Pkwy, Hamburg, NY 14075",(716) 428-5730,Carrot,329,https://cannaspaceny.com/,https://cannaspaceny.com/store/,https://cannaspaceny.com/store/category/specials
East Leaf (Cheetowaga),"2442 Clinton St, Cheektowaga, NY 14224",(716) 322-0062,Carrot,181,https://www.eastleafdispensary.com/,https://www.eastleafdispensary.com/store?locId=1,https://www.eastleafdispensary.com/store#/category/specials
East Leaf (East Aurora),"203 Main St, East Aurora, NY 14052",(716) 714-6266,Carrot,181,https://www.eastleafdispensary.com/,https://www.eastleafdispensary.com/store?locId=2,https://www.eastleafdispensary.com/store#/category/specials
Green Philosophy,"101 Slade Ave West Seneca, Buffalo, NY 14224",(716) 796-0040,Carrot,267,https://gp716.com/,https://shop.gp716.com/store/,https://shop.gp716.com/store/category/specials
Greenside Cannabis,"12317 Vaughn Street, East Concord, NY 14055",(716) 592-9186,Carrot,371,https://greensidecannabis.com/,https://greensidecannabis.com/shop/,
Premier Earth,"1297 Hertel Ave, Buffalo, NY 14216",(716) 830-5555,Carrot,307,https://premierearth.com/,https://premierearth.com/store/,
The Cannabis Vault,"2234 Seneca St, Buffalo, NY 14210",(716) 314-5399,Carrot,326,https://tcvbuff.com/,https://tcvbuff.com/store/,
The Joint,"904 Elmwood Ave, Buffalo, NY 14222",(716) 248-2285,Carrot,447,https://thejointcannabisdispensary.com/,https://thejointcannabisdispensary.com/store/,
Yeti Canna,"1385 Abbott Rd, Lackawanna, NY 14218",(716) 262-0662,Carrot,260,https://yeticanna.com/,https://yeticanna.com/store/,https://yeticanna.com/store/category/specials
Toke Lane,"1727 Genesee St, Buffalo, NY 14211",(888) 484-1073,Proteus420,,https://tokelane.com/location/buffalo-ny/,https://cart.tokelane.com/,https://cart.tokelane.com/shop/c/onsalepage
HONEY Kenmore,"2981 Delaware Ave, Kenmore, NY 14217",(716) 200-1551,Proteus420,,https://honeykenmore.com/,https://cart.honeykenmore.com/,https://cart.honeykenmore.com/shop/c/featured/
The Cannabis Store,"1936 South Park Ave. Buffalo, NY",(716) 381-8004,Proteus420,,https://tcsbflo.com/,https://tcsbflo.com/cart/,https://tcsbflo.com/cart/c/featured
82-J Cannabis,"1673 Hertel Ave, Buffalo, NY 14216",(716) 262-0036,AIQ,,82jcannabis.com,https://menus.dispenseapp.com/390243df4f0ee7fa/menu,https://menus.dispenseapp.com/390243df4f0ee7fa/menu/offers
Innocence Cannabis,"6730 Lake Rd, Appleton, NY 14008",(716) 638-4222,AIQ,,https://innocence.buzz/,https://menus.dispenseapp.com/0d177a4c05c521ca/menu,https://menus.dispenseapp.com/0d177a4c05c521ca/menu/offers
Mrs. Green’s,"204 E Main St, Batavia, NY 14020",(585) 356-1647,AIQ,,https://mrsgreenscannary.com/,https://menus.dispenseapp.com/74422ea119bfc60b/menu,https://menus.dispenseapp.com/74422ea119bfc60b/menu/offers
Buffalo Dreams,"900 Niagara Falls Blvd, Buffalo, NY 14223",(716) 466-2351,Jane,,https://shopbuffalodreams.com/,https://shopbuffalodreams.com/shop/,https://shopbuffalodreams.com/shop/menu/specials
Stonedhouse,"755 Center St Ste. 7, Lewiston, NY 14092",(716) 306-3500,Jane,,https://stonedhouseny.com/,https://stonedhouseny.com/order-online/menu/,https://stonedhouseny.com/order-online/menu/specials
Devil’s Lettuce,"650 Orchard Park Rd, West Seneca, NY 14224",(716) 671-8500,Blaze,,https://devilslettuce.net/,https://devilslettuce.net/shop/,https://devilslettuce.net/shop/deals/
Satisfied Mind,"31 Webster St, North Tonawanda, NY 14120",(716) 766-7659,Blaze,,https://satisfiedmind.co/,https://satisfiedmind.co/menu,
Ether,"5100 Genesee St Unit 4, Buffalo, NY 14225",716) 331-5403,WeedMaps,etherbuffalo,https://ethernewyork.com/,https://etherbuffalo.wm.store/,https://etherbuffalo.wm.store/?page=1&filter%5BonSaleOnly%5D=true
Kush Mart (Lackawanna),"2470 Hamburg Turnpike, Buffalo, NY 14218",(716) 248-2787,Custom,,https://kushmart.com/location/lackawanna-ny,https://kushmart.com/location/lackawanna-ny/shop#menu,https://kushmart.com/location/lackawanna-ny/shop/offers
